timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1553066347909,154,HTTP Request,200,,Report_ThreadGroup 1-86,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,154,0,1
1553066348054,254,HTTP Request,200,,Report_ThreadGroup 1-87,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,253,0,1
1553066347991,404,HTTP Request,200,,Report_ThreadGroup 1-88,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,403,0,1
1553066348196,261,HTTP Request,200,,Report_ThreadGroup 1-89,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,261,0,0
1553066348308,197,HTTP Request,200,,Report_ThreadGroup 1-87,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,197,0,1
1553066348395,206,HTTP Request,200,,Report_ThreadGroup 1-88,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,192,0,0
1553066348457,146,HTTP Request,200,,Report_ThreadGroup 1-89,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,145,0,1
1553066348603,195,HTTP Request,200,,Report_ThreadGroup 1-89,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,195,0,0
1553066348601,289,HTTP Request,200,,Report_ThreadGroup 1-88,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,288,0,1
1553066348798,125,HTTP Request,200,,Report_ThreadGroup 1-89,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,125,0,1
1553066348924,222,HTTP Request,200,,Report_ThreadGroup 1-89,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,222,0,0
1553066348890,407,HTTP Request,200,,Report_ThreadGroup 1-88,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,406,0,0
1553066349147,197,HTTP Request,200,,Report_ThreadGroup 1-89,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,196,0,0
1553066349297,123,HTTP Request,200,,Report_ThreadGroup 1-88,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,123,0,1
1553066349344,147,HTTP Request,200,,Report_ThreadGroup 1-89,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,147,0,1
1553066349202,374,HTTP Request,200,,Report_ThreadGroup 1-90,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,374,0,1
1553066349491,218,HTTP Request,200,,Report_ThreadGroup 1-89,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,217,0,1
1553066349420,470,HTTP Request,200,,Report_ThreadGroup 1-88,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,469,0,1
1553066349709,307,HTTP Request,200,,Report_ThreadGroup 1-89,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,307,0,1
